propertyCode,propertyType,size,rooms,bathrooms,municipality,latitude,longitude,status,newDevelopment,hasLift,newDevelopmentFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,price,logPrice,pricePerSquareMeter,logPricePerSquareMeter
33889267,flat,57.0,1,1,Misericórdia,38.7126182,-9.1442231,good,False,False,False,False,False,1500.0,7.313220387090301,26.31578947368421,0.12830211205421582
33889256,flat,200.0,3,2,Parque das Nações,38.763496,-9.102558,good,False,True,False,True,True,2600.0,7.8632667240095735,13.0,0.03931633362004787
33889171,flat,90.0,1,2,Avenidas Novas,38.7416368,-9.1657947,good,False,True,False,True,True,2200.0,7.696212639346407,24.444444444444443,0.08551347377051563
33889238,studio,38.0,0,1,Belém,38.6966334,-9.2098645,good,False,True,False,True,True,900.0,6.802394763324311,23.68421052631579,0.17901038850853448
33480344,duplex,85.0,2,2,Avenidas Novas,38.7293365,-9.1494488,good,False,True,False,False,False,3000.0,8.006367567650246,35.294117647058826,0.09419255961941465
33889053,flat,75.0,2,1,Alcântara,38.7011391,-9.1915645,good,False,False,False,False,False,1200.0,7.090076835776092,16.0,0.09453435781034789
32028741,penthouse,75.0,2,1,Carnide,38.7572439,-9.1852024,good,False,True,False,True,True,1300.0,7.170119543449628,17.333333333333332,0.09560159391266171
33878795,flat,40.0,1,1,Alcântara,38.7010978,-9.191953,good,False,False,False,False,False,850.0,6.745236349484363,21.25,0.16863090873710906
33888927,flat,30.0,1,1,Santa Maria Maior,38.7152645,-9.1351068,good,False,False,False,False,False,890.0,6.7912214627261855,29.666666666666668,0.22637404875753953
33888955,flat,40.0,1,1,Santa Maria Maior,38.711055,-9.1299397,good,False,False,False,False,False,1300.0,7.170119543449628,32.5,0.1792529885862407
33888919,flat,150.0,4,2,Santa Maria Maior,38.7095978,-9.1309711,good,False,False,False,False,False,2000.0,7.600902459542082,13.333333333333334,0.05067268306361388
33887413,flat,55.0,1,1,Misericórdia,38.7149448,-9.1493019,good,False,True,False,False,False,2300.0,7.7406644019172415,41.81818181818182,0.14073935276213168
