propertyCode,size,rooms,bathrooms,municipality,latitude,longitude,newDevelopment,hasLift,newDevelopmentFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,propertyType_chalet,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,status_good,status_newdevelopment,status_renew
33894134,130.0,4,2,Avenidas Novas,38.736061,-9.1568879,0,0,0,0,0,0,0,1,0,0,1,0,0
33893967,188.0,3,1,Arroios,38.7253876,-9.1331138,0,0,0,0,0,0,0,1,0,0,1,0,0
33893877,60.0,1,1,Arroios,38.7283356,-9.1382456,0,1,0,0,0,0,0,1,0,0,1,0,0
33893934,97.0,2,1,Alvalade,38.7463174,-9.1375148,0,1,0,0,0,0,0,1,0,0,1,0,0
33893933,168.0,4,3,Alvalade,38.7584529,-9.1362384,0,1,0,1,1,0,0,1,0,0,1,0,0
33893838,200.0,4,3,Avenidas Novas,38.7304064,-9.1514051,0,1,0,1,1,0,0,1,0,0,1,0,0
33320705,140.0,2,2,Parque das Nações,38.7821194,-9.0965454,0,1,0,1,1,0,0,1,0,0,1,0,0
33893747,70.0,2,1,Campo de Ourique,38.7179477,-9.170041,0,0,0,0,0,0,0,1,0,0,1,0,0
33893764,160.0,4,3,Lumiar,38.7617372,-9.1627939,0,1,0,1,1,0,0,1,0,0,1,0,0
33893665,75.0,2,1,Belém,38.6969106,-9.2159757,0,0,0,0,0,0,0,1,0,0,1,0,0
33893690,95.0,3,1,São Vicente,38.7185603,-9.1227846,0,0,0,0,0,0,0,1,0,0,1,0,0
33893682,81.0,3,2,São Vicente,38.7209786,-9.1243515,0,1,0,0,0,0,0,1,0,0,1,0,0
33893547,122.0,4,2,Santa Maria Maior,38.7120697,-9.1370258,0,1,0,0,0,0,0,1,0,0,1,0,0
33893317,47.0,1,1,Ajuda,38.7026442,-9.192246,0,0,0,0,0,0,0,1,0,0,1,0,0
33893413,117.0,2,2,São Domingos de Benfica,38.7545541,-9.1725192,0,1,0,1,1,0,0,1,0,0,1,0,0
33893432,71.0,1,1,Marvila,38.7417928,-9.1057169,0,1,0,1,1,0,0,1,0,0,1,0,0
33893386,119.0,2,3,Lumiar,38.7709622,-9.1558228,0,1,0,1,1,0,0,1,0,0,1,0,0
33892773,97.0,2,1,Campo de Ourique,38.7211442,-9.1666723,0,0,0,0,0,0,0,1,0,0,1,0,0
