propertyCode,price,logPrice,pricePerSquareMeter,logPricePerSquareMeter
33940662,6500.0,8.779557455883728,27.896995708154506,3.328519002318028
33940661,1800.0,7.495541943884256,17.821782178217823,2.8804214270429966
33940611,1995.0,7.598399329323964,18.136363636363637,2.8979189635315477
33940582,2200.0,7.696212639346407,40.0,3.6888794541139363
33940496,3500.0,8.160518247477505,42.16867469879518,3.741677639680907
33940527,1400.0,7.24422751560335,15.555555555555555,2.7444178452730847
33940522,1050.0,6.956545443151569,87.5,4.471638793363569
33940485,1800.0,7.495541943884256,14.754098360655737,2.6915208991509996
33940432,6000.0,8.699514748210191,32.25806451612903,3.473768074496991
32792279,4500.0,8.411832675758411,36.0,3.58351893845611
33940316,900.0,6.802394763324311,22.5,3.1135153092103742
33940315,740.0,6.606650186198215,12.333333333333334,2.512305623976115
33938936,2250.0,7.718685495198466,24.456521739130434,3.1968969181494256
33940301,1850.0,7.52294091807237,10.882352941176471,2.3871424810221087
33940302,2100.0,7.649692623711514,16.666666666666668,2.8134107167600364
33939821,2791.0,7.934155233536322,39.871428571428574,3.6856599914869634
33939784,2800.0,7.937374696163295,50.0,3.912023005428146
33939696,3600.0,8.1886891244442,41.37931034482759,3.7227810057896176
33939693,1600.0,7.3777589082278725,32.0,3.4657359027997265
33939692,2200.0,7.696212639346407,110.0,4.700480365792417
33939604,2500.0,7.824046010856292,15.432098765432098,2.736449675623908
33939618,1800.0,7.495541943884256,14.4,2.667228206581955
33939591,1395.0,7.240649694255466,31.704545454545453,3.456460060337205
33922494,1800.0,7.495541943884256,14.87603305785124,2.699751398287515
33927346,2500.0,7.824046010856292,37.878787878787875,3.6343912688298663
33939437,1150.0,7.047517221357296,16.428571428571427,2.7990219793079367
33939420,1700.0,7.438383530044307,26.153846153846153,3.2639962601486703
33939417,1700.0,7.438383530044307,25.757575757575758,3.248728788017882
33939385,1300.0,7.170119543449628,26.0,3.258096538021482
33939361,1720.0,7.450079569807499,11.466666666666667,2.439444275711243
33833408,1700.0,7.438383530044307,13.6,2.6100697927420065
33883076,1500.0,7.313220387090301,26.31578947368421,3.270169119255751
33936499,3285.0,8.09712193091871,16.024390243902438,2.7741119517803026
33939228,1400.0,7.24422751560335,17.28395061728395,2.849778360930911
33939133,1250.0,7.1308988302963465,14.705882352941176,2.6882475738060303
33939129,2600.0,7.8632667240095735,16.774193548387096,2.8198416070903267
33939095,2300.0,7.7406644019172415,15.862068965517242,2.763930659496667
33939091,1500.0,7.313220387090301,30.0,3.4011973816621555
33939015,1500.0,7.313220387090301,30.0,3.4011973816621555
33939002,1500.0,7.313220387090301,30.0,3.4011973816621555
33913733,1200.0,7.090076835776092,20.689655172413794,3.029633825229672
33938950,1600.0,7.3777589082278725,32.0,3.4657359027997265
33938923,2100.0,7.649692623711514,22.105263157894736,3.0958157321109736
33938914,2300.0,7.7406644019172415,12.432432432432432,2.520308576838916
32647518,1700.0,7.438383530044307,24.285714285714285,3.1898882879949486
33938861,1950.0,7.575584651557793,17.410714285714285,2.857085780262698
32030430,3750.0,8.229511118964457,17.942583732057415,2.8871768669996456
33938853,1600.0,7.3777589082278725,16.842105263157894,2.8238820166273317
33938737,2300.0,7.7406644019172415,16.428571428571427,2.7990219793079367
33938500,1100.0,7.003065458786462,21.568627450980394,3.0712398260621363
33873698,1300.0,7.170119543449628,12.5,2.5257286443082556
33938452,4000.0,8.294049640102028,30.76923076923077,3.4265151896464454
33938435,1350.0,7.2078598714324755,19.852941176470587,2.9883521662563686
33938441,1500.0,7.313220387090301,32.608695652173914,3.4845789906012063
33938299,1600.0,7.3777589082278725,26.666666666666668,3.283414346005772
